distancia;cota
9108.7706234;404.0
9141.55590411;405.0
9174.34118482;407.0
9207.12646553;407.0
9239.91174624;408.0
9275.89764662;402.0
9311.883547;401.0
9347.86944737;400.014709473
9383.85534775;402.0
9419.84124813;404.0
9455.82714851;403.0
9491.81304889;404.0
9527.79894927;403.0
9563.78484965;400.0
9599.77075003;398.06072998
9635.75665041;399.0
9671.74255079;399.0
9707.72845117;403.0
9743.71435155;405.0
9777.6419894;404.0
9811.56962726;403.0
9845.49726512;399.0
9879.42490297;395.06072998
9913.35254083;395.055511475
9947.28017869;395.048156738
9981.20781654;395.042938232
10015.1354544;396.0
10049.0630923;397.0
10082.9907301;400.0
10116.918368;399.0
10148.2617589;399.0
10179.6051498;397.0
10210.9485407;397.0
10242.2919316;398.0
10273.6353225;398.0
10304.9787134;396.007354736
10336.3221043;397.0
10367.6654952;396.0
10399.0088861;395.0
10430.352277;394.007354736
10461.6956679;394.005218506
10493.0390588;395.0
10524.3824497;395.005218506
10555.7258406;396.0
10587.0692315;396.0
10618.4126224;395.0
10649.7560133;395.0
10681.0994042;393.0
10712.4427951;391.077575684
10743.1947103;391.072357178
10773.9466255;391.067138672
10804.6985407;391.061920166
10835.450456;394.0
10866.2023712;396.0
10896.9542864;395.0
10927.7062016;393.0
10958.4581169;392.0
10989.2100321;391.019927979
11019.9619473;391.014709473
11050.7138625;392.0
11081.7403304;393.0
11112.7667983;391.0
11143.7932662;390.045074463
11174.8197341;391.0
11205.8462019;395.0
11236.8726698;394.0
11267.8991377;391.0
11298.9256056;387.034637451
11329.9520735;387.029418945
11360.9785414;387.022064209
11396.3860931;387.022064209
11431.7936448;387.014709473
11467.2011965;387.012573242
11502.6087482;387.005218506
11538.0162999;387.0
11573.4238516;390.0
11608.8314033;391.0
11644.238955;393.0
11679.6465068;395.0
11715.0540585;394.0
11750.4616102;396.0
11785.8691619;395.0
11821.2767136;396.0
11856.6842653;393.0
11890.798446;394.0
11924.9126267;393.0
11959.0268074;394.0
11993.1409881;394.0
12027.2551688;394.0
12061.3693495;393.0
12095.4835302;393.0
12129.5977109;391.0
12163.7118916;390.0
12197.8260723;387.0
12231.940253;385.0
12266.0544337;382.252410889
12305.1253916;382.249328613
12344.1963495;388.0
12383.2673074;390.0
12422.3382653;394.0
12461.4092232;397.0
12500.4801811;398.0
12539.551139;399.0
12578.6220969;397.0
12617.6930548;397.0
12656.7640127;393.0
12695.8349706;390.0
12727.7861334;389.0
12759.7372961;383.0
12791.6884588;382.124542236
12823.6396215;383.0
12855.5907843;384.0
12887.541947;384.0
12919.4931097;389.0
12951.4442725;391.0
12983.3954352;393.0
13015.3465979;396.0
13047.2977606;397.0
13079.2489234;398.0
13111.2000861;399.0
13144.1617721;399.0
13177.1234581;401.0
13210.0851441;400.0
13243.04683;401.0
13276.008516;401.0
13308.970202;401.0
13341.931888;400.0
13374.893574;398.0
13407.85526;398.0
13440.816946;398.0
13473.778632;397.0
13504.6600326;397.0
13535.5414332;394.0
13566.4228338;393.0
13597.3042344;393.0
13628.185635;391.0
13659.0670356;386.0
13689.9484362;383.0
13720.8298368;382.0
13751.7112374;381.0
13782.592638;385.0
13813.4740386;385.0
13844.3554392;385.0
13875.2368398;387.0
13908.3212523;391.0
13941.4056649;394.0
13974.4900774;395.0
14007.57449;397.0
14040.6589025;397.0
14073.743315;395.0
14105.0971001;396.0
14136.4508851;396.0
14167.8046702;394.0
14199.1584552;394.0
14230.5122403;393.0
14261.8660254;390.0
14293.2198104;387.0
14324.5735955;388.0
14355.9273805;390.0
14387.2811656;388.0
14418.6349506;385.0
14449.9887357;383.0
14481.3425208;380.007354736
14516.2180303;381.0
14551.0935398;379.0
14585.9690492;379.0
14620.8445587;375.118377686
14655.7200682;375.11315918
14690.5955777;375.105804443
14725.4710872;375.103668213
14760.3465967;375.101531982
14795.2221062;375.094177246
14837.7871904;375.08682251
14880.3522745;376.0
14922.9173586;378.0
14965.4824428;379.0
15008.0475269;378.0
15050.612611;375.036529541
15093.1776952;375.033447266
15135.7427793;375.03036499
15178.3078634;377.0
15220.8729476;379.0
15251.910181;383.0
15282.9474144;383.0
15313.9846478;382.0
15345.0218813;381.0
15376.0591147;380.0
15407.0963481;379.0
15438.1335816;378.0
15469.170815;378.0
15500.2080484;378.0
15531.2452819;379.0
15562.2825153;379.0
15593.3197487;379.0
15624.3569822;377.0
15655.3942156;377.0
15685.8416636;378.0
15716.2891116;377.0
15746.7365596;375.0
15777.1840077;373.0
15807.6314557;373.0
15838.0789037;372.0
15868.5263517;371.0
15900.8009027;370.075439453
15933.0754536;370.070220947
15965.3500046;370.062866211
15997.6245555;370.057647705
16029.8991065;370.052429199
16062.1736575;370.045074463
16094.4482084;370.039855957
16126.7227594;370.032501221
16158.9973103;370.027282715
16191.2718613;370.022064209
16223.5464122;370.014709473
16255.8209632;370.012573242
16288.0955142;371.0
16320.3700651;371.0
16352.6446161;370.0
16384.919167;369.093231201
16417.193718;369.091094971
16449.4682689;369.093231201
16481.7428199;369.090148926
16514.0173709;370.0
16546.2919218;371.0
16579.2980131;369.094421387
16612.3041043;369.090148926
16645.3101956;369.088012695
16678.3162869;371.0
16711.3223781;372.0
16744.3284694;373.0
16777.3345606;373.0
16821.5888878;373.0
16865.8432149;372.012573242
16910.097542;372.007354736
16954.3518691;375.0
16998.6061962;374.0
17042.8605233;373.0
17087.1148504;373.0
17131.3691775;372.0
