"","correl"
"1",-0.142857142857143
"2",0
"3",-0.432196410485111
"4",0.147252747252747
"5",-0.0487279314457605
"6",0
"7",-0.27032967032967
"8",0.450549450549451
"9",0
"10",0.579937020191757
"11",-0.459340659340659
"12",0.223705503455537
"13",0
"14",0.226373626373626
"15",0.588099839731039
"16",0
"17",0.417833782124971
"18",-0.579777672187675
"19",0.599439775910364
"20",0
"21",0.554811169557584
"22",-0.0769230769230769
"23",0
"24",0.171035947044102
"25",0.0659340659340659
"26",-0.0998660105203651
"27",0
"28",-0.0934065934065934
"29",0.247252747252747
"30",0
"31",0.510349196825144
"32",-0.269230769230769
"33",0.191409853497366
"34",0
"35",0.269230769230769
"36",-0.0879120879120879
"37",0
"38",0.00275864430716294
"39",0.0714285714285714
"40",-0.183087685954003
"41",0
"42",0.0494505494505495
"43",-0.291208791208791
"44",0
"45",-0.193105101501406
"46",0.263736263736264
"47",-0.141476848237184
"48",0
"49",-0.318681318681319
"50",0.248351648351648
"51",0
"52",0.478503168751374
"53",-0.274725274725275
"54",0.217060785531115
"55",0
"56",0.186813186813187
"57",0.137741569495977
"58",0
"59",-0.0746888681218221
"60",-0.143251232275816
"61",0.246181196071184
"62",0
"63",0.24242516231292
"64",0.745875038803545
"65",0.539054231583683
"66",0.312431432183196
"67",-0.745875038803545
"68",0.204620585866459
"69",0.633663749780003
"70",-0.616061978952781
"71",0.410989010989011
"72",0.63956043956044
"73",-0.125274725274725
"74",-0.410989010989011
"75",-0.173626373626374
"76",0.551648351648352
"77",-0.0813186813186813
"78",0.449037516556886
"79",0.371902237639138
"80",0.258954150652437
"81",-0.449037516556886
"82",-0.0633611219681495
"83",0.48209549323592
"84",-0.184573703124609
"85",0.461538461538462
"86",0.181318681318681
"87",-0.450549450549451
"88",-0.461538461538462
"89",0.230769230769231
"90",0.214285714285714
"91",-0.428571428571429
"92",0.153846153846154
"93",-0.0934065934065934
"94",-0.450549450549451
"95",-0.153846153846154
"96",0.510989010989011
"97",-0.10989010989011
"98",-0.296703296703297
"99",-0.214580670673484
"100",-0.352132382643667
"101",-0.159559985885412
"102",0.214580670673484
"103",0.547455813641326
"104",-0.316368937531419
"105",-0.209078602194677
"106",0.521978021978022
"107",0.483516483516484
"108",0.00549450549450549
"109",-0.521978021978022
"110",0.104395604395604
"111",0.565934065934066
"112",-0.489010989010989
"113",0.305494505494506
"114",0.336263736263736
"115",-0.221978021978022
"116",-0.305494505494506
"117",0.393406593406594
"118",0.349450549450549
"119",-0.450549450549451
"120",-0.0385144793516511
"121",-0.121045506533761
"122",0.32462204024963
"123",0.0385144793516511
"124",-0.46767582069862
"125",-0.118294472294357
"126",0.360385485361878
"127",0.371428571428571
"128",0.767032967032967
"129",0.393406593406594
"130",-0.371428571428571
"131",0.287912087912088
"132",0.371428571428571
"133",-0.296703296703297
"134",0.701098901098901
"135",0.679120879120879
"136",0.613186813186813
"137",-0.701098901098901
"138",0.441758241758242
"139",0.701098901098901
"140",-0.6
"141",0.60989010989011
"142",0.538461538461538
"143",0.549450549450549
"144",-0.60989010989011
"145",0.538461538461538
"146",0.60989010989011
"147",-0.554945054945055
"148",-0.532967032967033
"149",-0.549450549450549
"150",-0.351648351648352
"151",0.532967032967033
"152",-0.362637362637363
"153",-0.532967032967033
"154",0.510989010989011
"155",-0.561210984838344
"156",-0.239339978828117
"157",-0.429161341346969
"158",0.561210984838344
"159",-0.192572396758255
"160",-0.561210984838344
"161",0.244842047306925
"162",-0.664835164835165
"163",-0.774725274725275
"164",-0.67032967032967
"165",0.664835164835165
"166",-0.714285714285714
"167",-0.664835164835165
"168",0.554945054945055
"169",0.137362637362637
"170",0.032967032967033
"171",0.296703296703297
"172",-0.137362637362637
"173",0.10989010989011
"174",0.137362637362637
"175",-0.17032967032967
"176",-0.134065934065934
"177",-0.186813186813187
"178",-0.0285714285714286
"179",0.134065934065934
"180",-0.00659340659340659
"181",-0.134065934065934
"182",0.0813186813186813
"183",0.538461538461538
"184",0.571428571428571
"185",0.434065934065934
"186",-0.538461538461538
"187",0.313186813186813
"188",0.538461538461538
"189",-0.494505494505495
"190",0.136413723910973
"191",-0.17381748691882
"192",-0.28382855458896
"193",-0.17381748691882
"194",0.083608411429306
"195",0.136413723910973
"196",-0.0880088541361116
"197",0.714285714285714
"198",0.0021978021978022
"199",-0.151648351648352
"200",-0.731868131868132
"201",0.657142857142857
"202",0.714285714285714
"203",-0.512087912087912
"204",0.473040357575666
"205",0.0276631788055945
"206",0.00276631788055945
"207",-0.481339311217344
"208",0.268332834414266
"209",0.473040357575666
"210",-0.511768807903498
"211",0.225274725274725
"212",0.263736263736264
"213",-0.021978021978022
"214",-0.148351648351648
"215",-0.0164835164835165
"216",0.225274725274725
"217",-0.192307692307692
"218",-0.11279240381555
"219",0.00550206847880729
"220",0.475928923416831
"221",0.115543438054953
"222",0.0632737875062839
"223",-0.11279240381555
"224",-0.200825499476466
"225",-0.565934065934066
"226",0.0274725274725275
"227",0.39010989010989
"228",0.56043956043956
"229",-0.395604395604396
"230",-0.565934065934066
"231",0.368131868131868
"232",0.335164835164835
"233",0.230769230769231
"234",0.406593406593407
"235",-0.368131868131868
"236",0.406593406593407
"237",0.335164835164835
"238",-0.549450549450549
"239",0.0505494505494506
"240",0.16043956043956
"241",0.296703296703297
"242",-0.0241758241758242
"243",0.120879120879121
"244",0.0505494505494506
"245",-0.0769230769230769
"246",-0.0385144793516511
"247",-0.335626177207245
"248",-0.242091013067521
"249",0.0137551711970182
"250",0
"251",-0.0385144793516511
"252",0.187070328279448
"253",0.164639688733389
"254",0.249184393758642
"255",0.298459486109907
"256",-0.166864549391948
"257",-0.636310148347962
"258",0.131411266272273
"259",-0.0823198443666943
"260",-0.494505494505495
"261",-0.340659340659341
"262",-0.105610624963334
"263",0.49010989010989
"264",-0.0989010989010989
"265",-0.556656002410905
"266",-0.349450549450549
"267",0.482011104023282
"268",0.218844121941605
"269",0.391132844887849
"270",-0.35735305987933
"271",-0.168980904284024
"272",0.496544533581029
"273",0.188372155595306
"274",-0.543956043956044
"275",-0.335164835164835
"276",-0.544704779401922
"277",0.489010989010989
"278",0.302197802197802
"279",-0.478679957656235
"280",-0.291208791208791
"281",-0.225274725274725
"282",-0.43956043956044
"283",-0.184319294040044
"284",0.192307692307692
"285",-0.0164835164835165
"286",-0.118294472294357
"287",-0.126373626373626
"288",-0.258241758241758
"289",-0.417582417582418
"290",-0.327373074489034
"291",0.28021978021978
"292",0.538461538461538
"293",-0.299862732094998
"294",-0.115384615384615
"295",0.159340659340659
"296",0.043956043956044
"297",0.0605227532668803
"298",0.0164835164835165
"299",-0.302197802197802
"300",0.0825310271821094
"301",-0.104395604395604
"302",-0.525274725274725
"303",-0.375824175824176
"304",-0.431243385266947
"305",0.410989010989011
"306",0.296703296703297
"307",-0.468647148274794
"308",-0.230769230769231
"309",-0.142857142857143
"310",-0.175824175824176
"311",0.129298609251971
"312",0.0604395604395604
"313",-0.346153846153846
"314",-0.217331704912888
"315",-0.120879120879121
"316",0.0924092968429171
"317",0.440044270680558
"318",0.0550055338350697
"319",-0.0660066406020837
"320",-0.275027669175348
"321",0.160616158798404
"322",-0.257425898348126
"323",0.143014387971181
"324",0.407040950379516
"325",-0.319032096243404
"326",-0.193619479099445
"327",0.266226783761737
"328",0.143014387971181
"329",-0.195819700452848
"330",0.202223049389078
"331",0.182831798077797
"332",-0.216073943182851
"333",-0.429377707606947
"334",-0.0692544689688624
"335",0.188372155595306
"336",-0.185601976836551
"337",0.373626373626374
"338",-0.164835164835165
"339",0.263736263736264
"340",-0.346153846153846
"341",-0.175824175824176
"342",0.39010989010989
"343",-0.203296703296703
"344",-0.43956043956044
"345",-0.60989010989011
"346",-0.186813186813187
"347",0.401098901098901
"348",0.054945054945055
"349",-0.505494505494506
"350",0.56043956043956
"351",-0.269601355461558
"352",-0.440165478304584
"353",0.0495186163092657
"354",0.341128245686052
"355",0.0137551711970182
"356",-0.272352389700961
"357",0.332875142967841
"358",-0.395604395604396
"359",-0.510989010989011
"360",-0.362637362637363
"361",0.379120879120879
"362",0.340659340659341
"363",-0.456043956043956
"364",0.510989010989011
"365",0.0901098901098901
"366",-0.358241758241758
"367",-0.0813186813186813
"368",-0.103296703296703
"369",0.397802197802198
"370",-0.0021978021978022
"371",0.12967032967033
"372",0.0220082739152292
"373",0.492435128853253
"374",-0.115543438054953
"375",-0.0357634451122474
"376",0.0495186163092657
"377",0.0632737875062839
"378",-0.200825499476466
"379",0.0484048697748614
"380",-0.0880088541361116
"381",-0.165016601505209
"382",-0.332233424363821
"383",0.693069726321878
"384",0.0363436123348018
"385",-0.664466848727642
"386",-0.512087912087912
"387",0.336263736263736
"388",-0.753846153846154
"389",0.252747252747253
"390",0.221978021978022
"391",-0.6314635284266
"392",-0.0769230769230769
"393",0.289657652252109
"394",-0.118621705208006
"395",-0.0110345772286518
"396",-0.248277987644665
"397",-0.0551728861432588
"398",0.0234807525746977
"399",0.104828483672192
"400",-0.302197802197802
"401",0.456043956043956
"402",-0.0494505494505495
"403",0.164835164835165
"404",-0.175824175824176
"405",-0.134800677730779
"406",0.21978021978022
"407",-0.324175824175824
"408",0.175824175824176
"409",-0.324175824175824
"410",0.434065934065934
"411",-0.302197802197802
"412",-0.412655135910547
"413",0.362637362637363
"414",-0.818681318681319
"415",0.313186813186813
"416",-0.620879120879121
"417",0.653846153846154
"418",-0.307692307692308
"419",-0.629986840823435
"420",0.362637362637363
"421",0.18181887173469
"422",0.06060629057823
"423",0.347108755129863
"424",0.269973476212115
"425",-0.550966277983909
"426",0.248276098241347
"427",0.476585830456081
"428",-0.507692307692308
"429",0.208791208791209
"430",-0.384615384615385
"431",0.235164835164835
"432",-0.0153846153846154
"433",-0.444444713387363
"434",0.0769230769230769
"435",0.388431225978656
"436",-0.157025389225414
"437",0.17906404034477
"438",-0.162535052005253
"439",0.570250097713345
"440",0.366896900734435
"441",-0.641875713851254
"442",0.0396476732706858
"443",-0.22026485150381
"444",-0.176211881203048
"445",-0.143172153477477
"446",0.268723118834648
"447",0
"448",-0.0726874009962574
"449",-0.740659340659341
"450",-0.547252747252747
"451",-0.740659340659341
"452",0.652747252747253
"453",-0.16043956043956
"454",0
"455",0.6
"456",0.506236172142379
"457",0.14938116555021
"458",0.367920278114407
"459",-0.478572993336785
"460",0.196408569519721
"461",0
"462",-0.276631788055945
"463",-0.236263736263736
"464",0.28021978021978
"465",-0.39010989010989
"466",-0.021978021978022
"467",0.0384615384615385
"468",0
"469",0.0934065934065934
"470",-0.26409928698275
"471",-0.0302613766334401
"472",-0.0385144793516511
"473",0.222833773391695
"474",-0.244842047306925
"475",0
"476",0.200825499476466
"477",-0.489010989010989
"478",-0.686813186813187
"479",-0.214285714285714
"480",0.626373626373626
"481",-0.368131868131868
"482",0
"483",0.456043956043956
"484",-0.0824175824175824
"485",0.302197802197802
"486",0.0164835164835165
"487",0.032967032967033
"488",-0.587912087912088
"489",0
"490",0.104395604395604
"491",-0.573626373626374
"492",-0.402197802197802
"493",-0.569230769230769
"494",0.389010989010989
"495",-0.230769230769231
"496",0
"497",0.525274725274725
"498",0.252747252747253
"499",-0.0384615384615385
"500",0.115384615384615
"501",-0.175824175824176
"502",0.549450549450549
"503",0
"504",-0.450549450549451
"505",-0.163212754953007
"506",0.0857558542973429
"507",-0.106649836183801
"508",-0.185343297997483
"509",0.293229695339301
"510",0.0786931586990852
"511",-0.293229695339301
"512",-0.335164835164835
"513",0.428571428571429
"514",0.107290335336742
"515",-0.0604395604395604
"516",-0.137362637362637
"517",-0.577359080939677
"518",0.137362637362637
"519",0.637479086187895
"520",-0.129597396642594
"521",0.367776395877632
"522",-0.54641064530391
"523",0.00350263234169173
"524",0.295527533617423
"525",-0.00350263234169173
"526",-0.202797202797203
"527",0.223776223776224
"528",0.307692307692308
"529",-0.020979020979021
