"Estacao2","parameter","value"
"4","pH",6.767
"4","DO",6.4
"4","pH",7.4
"4","DO",6.35
"4","pH",7.233
"4","DO",6.533
"4","pH",7.375
"4","DO",7.525
"4","pH",7.425
"4","DO",7
"4","pH",7.55
"4","DO",7.15
"4","pH",7.833
"4","DO",8.267
"5","pH",7.225
"5","DO",7.225
"5","pH",6.95
"5","DO",2.95
"5","pH",7.05
"5","DO",7.05
"5","pH",6.92
"5","DO",5.66
"5","pH",6.917
"5","DO",5.15
"5","pH",7.15
"5","DO",5.5
"5","pH",6.65
"5","DO",6.2
"5","pH",6.833
"5","DO",5.867
"5","pH",7.15
"5","DO",4.8
"5","pH",7.2
"5","DO",5.767
"5","pH",7.4
"5","DO",7.075
"5","pH",7.425
"5","DO",6.55
"5","pH",7.275
"5","DO",6.675
"5","pH",7.833
"5","DO",7.9
"6","pH",7.175
"6","DO",7.625
"6","pH",8.2
"6","DO",5.85
"6","pH",7.375
"6","DO",7.25
"6","pH",7.22
"6","DO",6.92
"6","pH",7.083
"6","DO",5.5
"6","pH",6.875
"6","DO",7.4
"6","pH",6.975
"6","DO",6.95
"6","pH",7.233
"6","DO",7.233
"6","pH",7.7
"6","DO",6
"6","pH",7.1
"6","DO",6.267
"6","pH",7.125
"6","DO",7.2
"6","pH",7.38
"6","DO",7.46
"6","pH",7.467
"6","DO",7.1
"6","pH",7.7
"6","DO",8.333
"7","pH",7.1
"7","DO",8.05
"7","pH",8.15
"7","DO",6.1
"7","pH",7.375
"7","DO",6.95
"7","pH",7.22
"7","DO",6.66
"7","pH",7.2
"7","DO",5.45
"7","pH",6.875
"7","DO",7.475
"7","pH",7.025
"7","DO",6.95
"7","pH",7
"7","DO",6.933
"7","pH",7.6
"7","DO",5.95
"7","pH",7.067
"7","DO",6.2
"7","pH",7.05
"7","DO",7.025
"7","pH",7.275
"7","DO",7.15
"7","pH",7.475
"7","DO",7.3
"7","pH",7.533
"7","DO",7.867
"8","pH",6.475
"8","DO",4.35
"8","pH",7
"8","DO",2.85
"8","pH",6.85
"8","DO",6.125
"8","pH",6.88
"8","DO",4.54
"8","pH",6.65
"8","DO",3.383
"8","pH",6.4
"8","DO",5.025
"8","pH",6.775
"8","DO",5.125
"8","pH",6.533
"8","DO",5.067
"8","pH",7.25
"8","DO",4
"8","pH",6.667
"8","DO",4.967
"8","pH",6.775
"8","DO",5.125
"8","pH",6.833
"8","DO",4.8
"8","pH",7.075
"8","DO",4.275
"8","pH",7.033
"8","DO",5.1
"9","pH",6.075
"9","DO",6.15
"9","pH",6.8
"9","DO",3.95
"9","pH",6.85
"9","DO",6.125
"9","pH",6.78
"9","DO",4.82
"9","pH",6.7
"9","DO",4.217
"9","pH",6.5
"9","DO",5.4
"9","pH",6.775
"9","DO",5.4
"9","pH",6.333
"9","DO",5.933
"9","pH",7.1
"9","DO",4.15
"9","pH",6.7
"9","DO",4.367
"9","pH",6.7
"9","DO",5.975
"9","pH",6.85
"9","DO",6.275
"9","pH",7.25
"9","DO",5.65
"9","pH",7.233
"9","DO",7.467
