distancia;cota
14394.5063953;358.0
14425.0573762;357.007354736
14468.0583291;357.0
14511.0592821;356.0
14554.060235;356.0
14597.0611879;358.0
14640.0621409;357.0
14683.0630938;357.0
14726.0640467;358.0
14769.0649997;357.0
14812.0659526;358.0
14855.0669055;358.0
14898.0678585;356.0
14932.9676805;356.0
14967.8675025;356.0
15002.7673245;354.0
15037.6671464;355.0
15072.5669684;354.0
15107.4667904;355.0
15142.3666124;355.0
15177.2664344;352.0
15212.1662564;350.022064209
15247.0660784;350.019927979
15281.9659004;350.012573242
15316.8657224;350.012573242
15351.7655444;350.005218506
15386.6653664;352.0
15421.5651884;352.0
15456.4650104;352.0
15491.3648324;353.0
15526.2646543;355.0
15561.1644763;353.0
15596.0642983;350.0
15630.9641203;350.0
15665.8639423;349.0
15700.7637643;348.057647705
15735.6635863;349.0
15770.5634083;351.0
15805.4632303;351.0
15840.3630523;352.0
15875.2628743;351.0
15913.8696171;351.0
15952.4763599;349.0
15991.0831027;350.0
16029.6898455;350.0
16068.2965883;349.007354736
16106.9033312;349.0
16145.510074;348.014709473
16184.1168168;350.0
16222.7235596;349.007354736
16261.3303024;349.0
16299.9370452;348.0
16338.5437881;347.0
16377.1505309;347.0
16415.7572737;346.044128418
16454.3640165;346.036773682
16487.0054051;346.034637451
16519.6467938;346.032501221
16552.2881824;346.025146484
16584.9295711;347.0
16617.5709597;348.0
16650.2123484;347.0
16682.853737;347.0
16715.4951256;346.0
16748.1365143;344.0
16780.7779029;342.199737549
16813.4192916;342.194519043
16846.0606802;342.189300537
16878.7020689;342.181945801
16911.3434575;342.176727295
16943.9848462;342.169372559
16976.6262348;342.164154053
17009.2676234;342.158935547
17041.9090121;342.151580811
17074.5504007;342.146362305
17107.1917894;342.139007568
17139.833178;342.133789062
17174.6152989;342.128570557
17209.3974199;342.12121582
17244.1795408;342.115997314
17278.9616617;342.110778809
17313.7437827;342.105560303
17348.5259036;342.095123291
17381.9920303;342.087768555
17415.458157;342.082550049
17448.9242838;342.077331543
17482.3904105;342.072113037
17515.8565372;342.066894531
17549.322664;342.063812256
17582.7887907;342.05859375
17616.2549174;342.053375244
17649.7210441;342.048156738
17651.8928778;342.042938232
17682.6206073;342.037719727
17713.3483368;342.034637451
17744.0760663;342.029418945
17774.8037958;342.027282715
17805.5315254;342.025146484
17836.2592549;342.023010254
17866.9869844;344.0
17897.7147139;346.0
17928.4424434;348.0
17959.1701729;349.0
17989.8979024;351.0
18020.6256319;353.0
18051.3533614;355.0
18082.081091;356.0
18112.8088205;358.0
18143.53655;356.0
18174.2642795;356.0
18204.992009;358.0
18235.7197385;358.0
18266.447468;355.0
18297.1751975;352.007354736
18327.902927;352.005218506
18358.6306566;357.0
18389.3583861;357.0
18420.0861156;356.0
18450.8138451;351.0
18487.9254161;350.0
18525.0369871;347.0
18562.1485581;349.0
18599.2601291;348.0
18636.3717001;343.0
18673.4832711;340.0
18710.5948421;335.0
18747.7064132;332.098449707
18784.8179842;332.095367432
18821.9295552;335.0
18864.5277982;338.0
18907.1260411;338.0
18949.7242841;336.0
18992.3225271;335.017791748
19034.9207701;339.0
19077.5190131;342.0
19120.1172561;347.0
19162.7154991;347.0
19205.313742;347.0
19247.911985;346.007354736
19290.510228;350.0
19333.108471;355.0
19375.706714;357.0
19418.304957;358.0
19449.5299231;359.0
19480.7548893;357.010437012
