"","Estacao2","parameter","value"
"267","2","pH",7.4
"268","2","DO",6.1
"269","2","pH",6.133
"270","2","DO",6.7
"271","2","pH",7.125
"272","2","DO",7.675
"273","2","pH",6.95
"274","2","DO",7.375
"275","2","pH",6.75
"276","2","DO",7.85
"277","2","pH",7.4
"278","2","DO",8.333
"279","3","pH",7.4
"280","3","DO",7.4
"281","3","pH",7.35
"282","3","DO",7.15
"283","3","pH",7.275
"284","3","DO",7.475
"285","3","pH",7.18
"286","3","DO",6.72
"287","3","pH",7.283
"288","3","DO",5.417
"289","3","pH",7.175
"290","3","DO",6.725
"291","3","pH",6.875
"292","3","DO",6.95
"293","3","pH",6.933
"294","3","DO",6.867
"295","3","pH",7.2
"296","3","DO",6.45
"297","3","pH",7.133
"298","3","DO",6.567
"299","3","pH",7.425
"300","3","DO",7.175
"301","3","pH",7.15
"302","3","DO",7.425
"303","3","pH",7.075
"304","3","DO",7.55
"305","3","pH",7.567
"306","3","DO",8.233
"307","4","pH",7.5
"308","4","DO",7
"309","4","pH",7.4
"310","4","DO",6.8
"311","4","pH",7.05
"312","4","DO",8.25
"313","4","pH",7.1
"314","4","DO",5.86
"315","4","pH",6.983
"316","4","DO",5.583
"317","4","pH",7.2
"318","4","DO",6.775
"319","4","pH",6.625
"320","4","DO",6.1
"321","4","pH",6.767
"322","4","DO",6.4
"323","4","pH",7.4
"324","4","DO",6.35
"325","4","pH",7.233
"326","4","DO",6.533
"327","4","pH",7.375
"328","4","DO",7.525
"329","4","pH",7.425
"330","4","DO",7
"331","4","pH",7.55
"332","4","DO",7.15
"333","4","pH",7.833
"334","4","DO",8.267
"335","5","pH",7.225
"336","5","DO",7.225
"337","5","pH",6.95
"338","5","DO",2.95
"339","5","pH",7.05
"340","5","DO",7.05
"341","5","pH",6.92
"342","5","DO",5.66
"343","5","pH",6.917
"344","5","DO",5.15
"345","5","pH",7.15
"346","5","DO",5.5
"347","5","pH",6.65
"348","5","DO",6.2
"349","5","pH",6.833
"350","5","DO",5.867
"351","5","pH",7.15
"352","5","DO",4.8
"353","5","pH",7.2
"354","5","DO",5.767
"355","5","pH",7.4
"356","5","DO",7.075
"357","5","pH",7.425
"358","5","DO",6.55
"359","5","pH",7.275
"360","5","DO",6.675
"361","5","pH",7.833
"362","5","DO",7.9
"363","6","pH",7.175
"364","6","DO",7.625
"365","6","pH",8.2
"366","6","DO",5.85
"367","6","pH",7.375
"368","6","DO",7.25
"369","6","pH",7.22
"370","6","DO",6.92
"371","6","pH",7.083
"372","6","DO",5.5
"373","6","pH",6.875
"374","6","DO",7.4
"375","6","pH",6.975
"376","6","DO",6.95
"377","6","pH",7.233
"378","6","DO",7.233
"379","6","pH",7.7
"380","6","DO",6
"381","6","pH",7.1
"382","6","DO",6.267
"383","6","pH",7.125
"384","6","DO",7.2
"385","6","pH",7.38
"386","6","DO",7.46
"387","6","pH",7.467
"388","6","DO",7.1
"389","6","pH",7.7
"390","6","DO",8.333
"391","7","pH",7.1
"392","7","DO",8.05
"393","7","pH",8.15
"394","7","DO",6.1
"395","7","pH",7.375
"396","7","DO",6.95
"397","7","pH",7.22
"398","7","DO",6.66
"399","7","pH",7.2
"400","7","DO",5.45
"401","7","pH",6.875
"402","7","DO",7.475
"403","7","pH",7.025
"404","7","DO",6.95
"405","7","pH",7
"406","7","DO",6.933
"407","7","pH",7.6
"408","7","DO",5.95
"409","7","pH",7.067
"410","7","DO",6.2
"411","7","pH",7.05
"412","7","DO",7.025
"413","7","pH",7.275
"414","7","DO",7.15
"415","7","pH",7.475
"416","7","DO",7.3
"417","7","pH",7.533
"418","7","DO",7.867
"419","8","pH",6.475
"420","8","DO",4.35
"421","8","pH",7
"422","8","DO",2.85
"423","8","pH",6.85
"424","8","DO",6.125
"425","8","pH",6.88
"426","8","DO",4.54
"427","8","pH",6.65
"428","8","DO",3.383
"429","8","pH",6.4
"430","8","DO",5.025
"431","8","pH",6.775
"432","8","DO",5.125
"433","8","pH",6.533
"434","8","DO",5.067
"435","8","pH",7.25
"436","8","DO",4
"437","8","pH",6.667
"438","8","DO",4.967
"439","8","pH",6.775
"440","8","DO",5.125
"441","8","pH",6.833
"442","8","DO",4.8
"443","8","pH",7.075
"444","8","DO",4.275
"445","8","pH",7.033
"446","8","DO",5.1
"447","9","pH",6.075
"448","9","DO",6.15
"449","9","pH",6.8
"450","9","DO",3.95
"451","9","pH",6.85
"452","9","DO",6.125
"453","9","pH",6.78
"454","9","DO",4.82
"455","9","pH",6.7
"456","9","DO",4.217
"457","9","pH",6.5
"458","9","DO",5.4
"459","9","pH",6.775
"460","9","DO",5.4
"461","9","pH",6.333
"462","9","DO",5.933
"463","9","pH",7.1
"464","9","DO",4.15
"465","9","pH",6.7
"466","9","DO",4.367
"467","9","pH",6.7
"468","9","DO",5.975
"469","9","pH",6.85
"470","9","DO",6.275
"471","9","pH",7.25
"472","9","DO",5.65
"473","9","pH",7.233
"474","9","DO",7.467
